curValue,fromValue,diff,entityId,name,prevMonthValue
--------,---------,----,--------,----,--------------
80286.55,76133.29,4153.27,71083,B1 Fuel Cell Allocation,98441.05
22870.00,19971.42,2898.58,71010,B1 Main,31962.00
35546.46,32719.43,2827.03,71000,Building 1,48601.80
113140.00,110642.01,2497.99,70000,Pleasanton,162366.50
20178.50,20268.00,-89.50,72020,B2 Solar,28114.88
21136.88,21236.49,-99.61,71020,B1 Solar,29332.75
48953.64,49137.41,-183.78,72010,B2 Main,72768.47
69132.50,69407.64,-275.14,72000,Building 2,100825.13
192744.00,193434.82,-690.82,72080,Fuel Cell,244994.00
113656.79,117287.76,-3630.97,72093,B2 Fuel Cell Allocation,148132.97

(10 rows affected)
