curValue,fromValue,diff,entityId,name,prevMonthValue
--------,---------,----,--------,----,--------------
127540.00,43636.66,83903.34,24,400 SWBD 2,16509.00
86.00,85.71,0.29,12,Lab 103,116.00
11553.99,11577.94,-23.95,13,Lab 106,16217.53
60894.00,61019.13,-125.13,54,200 SWBD 2,95538.00
11607.69,12158.89,-551.20,92,Labs 500,16045.63
28466.00,32510.17,-4044.17,53,200 SWBD 1,46329.00
29004.00,33161.60,-4157.60,60,Building 250,43287.00
29004.00,33161.60,-4157.60,66,Building 250 Office,43287.00
89360.00,93529.13,-4169.13,57,Building 200 Office,141868.00
89360.00,93529.13,-4169.13,50,Building 200,141868.00
46578.36,53745.49,-7167.13,14,Building 100 Office,68183.02
50328.00,57940.57,-7612.57,70,Building 300,73906.00
50328.00,57940.57,-7612.57,77,Building 300 Office,73906.00
50328.00,57956.90,-7628.90,74,300 SWBD 2,73906.00
61040.50,69172.15,-8131.65,22,Labs 400,91279.25
57065.00,65408.30,-8343.30,10,Building 100,84524.00
0.00,9274.23,-9274.23,102,Labs 600,0.00
77873.00,89273.70,-11400.70,104,600 SWBD 2,119869.00
104568.00,120338.17,-15770.17,103,600 SWBD 1,158560.00
108034.94,123850.79,-15815.85,97,Building 500 Office,165369.75
118273.00,136008.73,-17735.73,90,Building 500,181415.00
182441.00,200331.97,-17890.97,107,Building 600 Office,278429.00
124868.00,144449.33,-19581.33,87,Building 350 Office,195123.00
124868.00,144449.33,-19581.33,80,Building 350,195123.00
166118.00,191858.54,-25740.54,20,Building 400,77470.00
182441.00,209607.53,-27166.53,100,Building 600,278429.00
38560.75,148762.42,-110201.67,23,400 SWBD 1,60972.75
11331.75,122683.18,-111351.43,27,Building 400 Office,0.00
817488.00,931983.55,-114495.55,1,Redwood Shores,1076023.00

(29 rows affected)
